ticker,company,cik,index_name
BTU,"Peabody Energy, Inc.",0001064728,SP600SmallCap
BXMT,"Blackstone Mortgage Trust, Inc.",0001061630,SP600SmallCap
CABO,Cable One,0001632127,SP600SmallCap
CAKE,"The Cheesecake Factory, Inc.",0000887596,SP600SmallCap
CALM,"Cal-Maine Foods, Inc.",0000016160,SP600SmallCap
CALX,Calix,0001406666,SP600SmallCap
CALY,Callaway Golf Company,0000837465,SP600SmallCap
CARG,CarGurus,0001494259,SP600SmallCap
CASH,"Pathward Financial, Inc.",0000907471,SP600SmallCap
CATY,Cathay General Bancorp,0000861842,SP600SmallCap
CBRL,Cracker Barrel,0001067294,SP600SmallCap
CBU,"Community Bank System, Inc.",0000723188,SP600SmallCap
CC,Chemours,0001627223,SP600SmallCap
CCOI,"Cogent Communications Holdings, Inc.",0001158324,SP600SmallCap
CCS,"Century Communities, Inc.",0001576940,SP600SmallCap
CE,Celanese,0001306830,SP600SmallCap
CENT,Central Garden & Pet Company,0000887733,SP600SmallCap
CENTA,Central Garden & Pet Company (Class A),0000887733,SP600SmallCap
CENX,Century Aluminum Company,0000949157,SP600SmallCap
CERT,"Certara, Inc.",0001827090,SP600SmallCap
CFFN,Capitol Federal Savings Bank,0001490906,SP600SmallCap
CHCO,City Holding Company,0000726854,SP600SmallCap
CHEF,"Chefs' Warehouse, Inc.",0001517175,SP600SmallCap
CLB,Core Laboratories,0001958086,SP600SmallCap
CLSK,"CleanSpark, Inc.",0000827876,SP600SmallCap
CNK,"Cinemark Holdings, Inc.",0001385280,SP600SmallCap
CNMD,CONMED Corporation,0000816956,SP600SmallCap
CNR,"Core Natural Resources, Inc.",0001710366,SP600SmallCap
CNS,"Cohen & Steers, Inc.",0001284812,SP600SmallCap
CNXN,"PC Connection, Inc.",0001050377,SP600SmallCap
COCO,The Vita Coco Company,0001482981,SP600SmallCap
COHU,"Cohu, Inc.",0000021535,SP600SmallCap
COLL,"Collegium Pharmaceutical, Inc.",0001267565,SP600SmallCap
CON,"Concentra Group Holdings Parent, Inc.",0002014596,SP600SmallCap
CORT,Corcept Therapeutics Incorporated,0001088856,SP600SmallCap
CPF,Central Pacific Financial Corp.,0000701347,SP600SmallCap
CPK,Chesapeake Utilities Corp.,0000019745,SP600SmallCap
CPRX,"Catalyst Pharmaceuticals Partners, Inc.",0001369568,SP600SmallCap
CRC,California Resources Corporation,0001609253,SP600SmallCap
CRGY,Crescent Energy Company,0001866175,SP600SmallCap
CRI,"Carter's, Inc.",0001060822,SP600SmallCap
CRK,"Comstock Resources, Inc.",0000023194,SP600SmallCap
CRSR,Corsair Gaming,0001743759,SP600SmallCap
CRVL,CorVel Corporation,0000874866,SP600SmallCap
CSR,Centerspace Trust,0000798359,SP600SmallCap
CSW,"CSW Industrials, Inc.",0001624794,SP600SmallCap
CTKB,"Cytek Biosciences, Inc.",0001831915,SP600SmallCap
CTS,CTS Corporation,0000026058,SP600SmallCap
CUBI,"Customers Bancorp, Inc.",0001488813,SP600SmallCap
CURB,Curbline Properties Corp.,0002027317,SP600SmallCap
CVBF,CVB Financial Corp.,0000354647,SP600SmallCap
CVCO,"Cavco Industries, Inc.",0000278166,SP600SmallCap
CVI,"CVR Energy, Inc.",0001376139,SP600SmallCap
CVSA,Covista Inc.,0000730464,SP600SmallCap
CWEN,"Clearway Energy, Inc. (Class C)",0001567683,SP600SmallCap
CWEN.A,"Clearway Energy, Inc. (Class A)",0001567683,SP600SmallCap
CWK,Cushman & Wakefield plc,0001628369,SP600SmallCap
CWST,"Casella Waste Systems, Inc.",0000911177,SP600SmallCap
CWT,California Water Service Group,0001035201,SP600SmallCap
CXM,"Sprinklr, Inc.",0001569345,SP600SmallCap
CXW,CoreCivic,0001070985,SP600SmallCap
CZR,Caesars Entertainment,0001590895,SP600SmallCap
DAN,Dana Incorporated,0000026780,SP600SmallCap
DBD,Diebold Nixdorf,0000028823,SP600SmallCap
DCH,Dauch Corporation,0001062231,SP600SmallCap
DCOM,"Dime Community Bancshares, Inc.",0000846617,SP600SmallCap
DEA,"Easterly Government Properties, Inc.",0001622194,SP600SmallCap
DEI,Douglas Emmett,0001364250,SP600SmallCap
DFH,"Dream Finders Homes, Inc.",0001825088,SP600SmallCap
DFIN,"Donnelley Financial Solutions, Inc.",0001669811,SP600SmallCap
DGII,Digi International Inc.,0000854775,SP600SmallCap
DIOD,Diodes Incorporated,0000029002,SP600SmallCap
DLX,Deluxe Corporation,0000027996,SP600SmallCap
DNOW,NOW Inc,0001599617,SP600SmallCap
DORM,"Dorman Products, Inc.",0000868780,SP600SmallCap
DRH,DiamondRock Hospitality Company,0001298946,SP600SmallCap
DV,"DoubleVerify Holdings, Inc.",0001819928,SP600SmallCap
DXC,DXC Technology,0001688568,SP600SmallCap
DXPE,"DXP Enterprises, Inc.",0001020710,SP600SmallCap
EAT,"Brinker International, Inc.",0000703351,SP600SmallCap
ECG,"Everus Construction Group, Inc.",0002015845,SP600SmallCap
ECPG,"Encore Capital Group, Inc.",0001084961,SP600SmallCap
EFC,"Ellington Financial, Inc.",0001411342,SP600SmallCap
EGBN,Eagle Bancorp Inc,0001050441,SP600SmallCap
